iter	Passed	Remaining
544	3249	8675
545	3253	8664
546	3258	8656
547	3263	8646
548	3267	8635
549	3272	8628
550	3279	8623
551	3286	8621
552	3290	8610
553	3294	8598
554	3297	8585
555	3301	8575
556	3305	8562
557	3308	8551
558	3312	8539
559	3317	8530
560	3322	8523
561	3328	8515
562	3332	8505
563	3336	8495
564	3340	8483
565	3344	8473
566	3348	8461
567	3352	8451
568	3357	8442
569	3360	8431
570	3364	8419
571	3368	8408
572	3372	8397
573	3377	8390
574	3381	8380
575	3386	8373
576	3393	8369
577	3400	8365
578	3406	8360
579	3410	8349
580	3414	8339
581	3419	8330
582	3425	8324
583	3428	8312
584	3432	8301
585	3436	8291
586	3443	8287
587	3456	8301
588	3462	8295
589	3466	8284
590	3470	8273
591	3474	8263
592	3478	8252
593	3482	8242
594	3486	8233
595	3490	8223
596	3494	8212
597	3499	8205
598	3504	8195
599	3507	8184
600	3514	8181
601	3521	8178
602	3527	8172
603	3532	8164
604	3538	8157
605	3543	8151
606	3551	8149
607	3555	8139
608	3560	8132
609	3566	8126
610	3570	8116
611	3575	8109
612	3580	8102
613	3587	8097
614	3591	8088
615	3600	8090
616	3605	8081
617	3611	8075
618	3617	8070
619	3621	8059
620	3626	8053
621	3630	8043
622	3634	8032
623	3639	8024
624	3643	8016
625	3648	8007
626	3652	7998
627	3656	7987
628	3660	7978
629	3664	7968
630	3668	7958
631	3673	7951
632	3677	7942
633	3682	7933
634	3685	7922
635	3689	7913
636	3693	7902
637	3696	7891
638	3700	7882
639	3709	7882
640	3715	7877
641	3719	7868
642	3723	7858
643	3727	7849
644	3732	7841
645	3736	7831
646	3740	7822
647	3744	7812
648	3749	7805
649	3759	7808
650	3765	7802
651	3771	7798
652	3776	7790
653	3781	7781
654	3784	7771
655	3788	7761
656	3792	7751
657	3796	7742
658	3800	7734
659	3804	7725
660	3809	7716
661	3813	7707
662	3818	7699
663	3823	7692
664	3838	7706
665	3843	7697
666	3847	7688
667	3850	7678
668	3854	7669
669	3858	7659
670	3863	7651
671	3869	7646
672	3873	7638
673	3878	7631
674	3884	7624
675	3889	7618
676	3895	7611
677	3903	7610
678	3908	7603
679	3915	7600
680	3932	7616
681	3938	7610
682	3942	7602
683	3947	7595
684	3951	7586
685	3957	7580
686	3962	7573
687	3967	7565
688	3971	7556
689	3975	7547
690	3979	7537
691	3982	7528
692	3986	7518
693	3990	7509
694	3994	7501
695	3998	7491
696	4002	7481
697	4006	7472
698	4012	7467
699	4016	7459
700	4020	7450
701	4025	7442
702	4029	7433
703	4033	7425
704	4037	7416
705	4041	7407
706	4044	7397
707	4048	7388
708	4052	7378
709	4056	7370
710	4061	7362
711	4065	7353
712	4071	7348
713	4075	7340
714	4095	7361
715	4101	7354
716	4105	7345
717	4110	7340
718	4115	7331
719	4120	7324
720	4125	7318
721	4129	7310
722	4133	7301
723	4137	7291
724	4141	7283
725	4145	7274
726	4149	7265
727	4156	7261
728	4160	7254
729	4165	7246
730	4168	7236
731	4173	7229
732	4177	7220
733	4180	7210
734	4185	7203
735	4189	7195
736	4193	7187
737	4197	7177
738	4201	7169
739	4206	7162
740	4212	7156
741	4219	7153
742	4226	7149
743	4236	7151
744	4242	7146
745	4247	7139
746	4252	7132
747	4256	7124
748	4260	7115
749	4264	7107
750	4270	7101
751	4275	7095
752	4279	7087
753	4283	7079
754	4287	7070
755	4291	7062
756	4295	7054
757	4302	7049
758	4307	7042
759	4311	7034
760	4316	7027
761	4320	7019
762	4324	7010
763	4331	7007
764	4337	7001
765	4342	6994
766	4347	6989
767	4356	6987
768	4364	6986
769	4371	6982
770	4379	6981
771	4384	6973
772	4393	6974
773	4404	6976
774	4412	6975
775	4420	6973
776	4427	6968
777	4431	6960
778	4435	6951
779	4439	6943
780	4443	6934
781	4446	6925
782	4451	6918
783	4456	6911
784	4461	6905
785	4467	6899
786	4470	6890
787	4474	6882
788	4479	6874
789	4482	6865
790	4486	6856
791	4489	6848
792	4494	6840
793	4497	6831
794	4501	6822
795	4504	6813
796	4511	6809
797	4515	6800
798	4521	6796
799	4525	6788
800	4530	6781
801	4535	6774
802	4539	6767
803	4546	6762
804	4553	6759
805	4571	6771
806	4580	6772
807	4585	6765
808	4590	6757
809	4594	6750
810	4599	6743
811	4603	6735
812	4607	6727
813	4611	6718
814	4616	6711
815	4620	6704
816	4625	6698
817	4629	6689
818	4632	6680
819	4636	6672
820	4640	6664
821	4644	6656
822	4648	6648
823	4655	6643
824	4659	6635
825	4663	6627
826	4666	6619
827	4671	6612
828	4675	6603
829	4679	6595
830	4683	6589
831	4687	6580
832	4691	6572
833	4694	6563
834	4698	6555
835	4702	6547
836	4706	6539
837	4711	6532
838	4730	6546
839	4735	6538
840	4739	6531
841	4742	6522
842	4746	6514
843	4749	6505
844	4753	6497
845	4758	6491
846	4763	6484
847	4768	6477
848	4772	6470
849	4777	6463
850	4781	6455
851	4786	6449
852	4791	6442
853	4796	6436
854	4801	6429
855	4805	6422
856	4808	6413
857	4812	6405
858	4815	6396
859	4819	6388
860	4825	6383
861	4829	6376
862	4833	6368
863	4837	6359
864	4841	6352
865	4845	6344
866	4848	6336
867	4853	6329
868	4857	6322
869	4863	6316
870	4874	6318
871	4878	6310
872	4881	6302
873	4885	6293
874	4889	6286
875	4892	6277
876	4896	6269
877	4900	6262
878	4905	6256
879	4909	6248
880	4913	6241
881	4917	6232
882	4921	6225
883	4924	6216
884	4928	6209
885	4932	6202
886	4936	6194
887	4940	6186
888	4944	6178
889	4947	6170
890	4950	6162
891	4954	6153
892	4958	6146
893	4962	6138
894	4965	6130
895	4970	6124
896	4975	6117
897	4978	6109
898	4982	6101
899	4985	6093
900	4989	6086
901	4994	6079
902	4999	6073
903	5003	6066
904	5007	6058
905	5011	6051
906	5015	6043
907	5019	6036
908	5024	6031
909	5041	6038
910	5046	6032
911	5050	6024
912	5053	6016
913	5057	6009
914	5060	6001
915	5064	5993
916	5067	5984
917	5070	5976
918	5074	5969
919	5080	5964
920	5084	5956
921	5087	5948
922	5092	5941
923	5097	5935
924	5100	5928
925	5112	5929
926	5116	5922
927	5120	5914
928	5123	5907
929	5127	5899
930	5130	5891
931	5134	5883
932	5137	5875
933	5142	5869
934	5146	5861
935	5149	5853
936	5152	5845
937	5157	5838
938	5161	5831
939	5164	5824
940	5168	5816
941	5172	5809
942	5176	5802
943	5179	5794
944	5183	5786
945	5187	5780
946	5193	5775
947	5199	5769
948	5203	5762
949	5209	5757
950	5213	5750
951	5218	5744
952	5222	5737
953	5226	5730
954	5230	5723
955	5233	5715
956	5238	5708
957	5242	5701
958	5246	5694
959	5249	5687
960	5253	5679
961	5256	5672
962	5260	5664
963	5263	5656
964	5267	5649
965	5271	5642
966	5275	5635
967	5279	5628
968	5283	5621
969	5287	5614
970	5290	5606
971	5294	5599
972	5298	5592
973	5302	5586
974	5307	5579
975	5311	5572
976	5314	5565
977	5318	5557
978	5323	5552
979	5327	5544
980	5331	5537
981	5335	5530
982	5339	5523
983	5342	5516
984	5346	5508
985	5352	5504
986	5361	5503
987	5366	5496
988	5371	5490
989	5375	5484
990	5379	5477
991	5383	5470
992	5387	5463
993	5390	5455
994	5394	5448
995	5398	5442
996	5403	5435
997	5406	5428
998	5410	5421
999	5413	5413
1000	5418	5407
1001	5423	5401
1002	5428	5395
1003	5432	5389
1004	5442	5387
1005	5449	5384
1006	5453	5377
1007	5457	5370
1008	5461	5364
1009	5465	5357
1010	5468	5349
1011	5472	5342
1012	5479	5338
1013	5485	5334
1014	5492	5329
1015	5496	5323
1016	5502	5318
1017	5508	5314
1018	5513	5307
1019	5516	5300
1020	5520	5292
1021	5525	5287
1022	5529	5280
1023	5532	5273
1024	5537	5267
1025	5541	5261
1026	5546	5254
1027	5549	5247
1028	5553	5240
1029	5557	5233
1030	5561	5227
1031	5565	5220
1032	5568	5213
1033	5572	5206
1034	5575	5198
1035	5579	5191
1036	5582	5184
1037	5588	5178
1038	5592	5172
1039	5596	5165
1040	5600	5159
1041	5603	5152
1042	5607	5144
1043	5611	5138
1044	5615	5132
1045	5620	5125
1046	5623	5119
1047	5628	5112
1048	5631	5105
1049	5634	5097
1050	5638	5090
1051	5641	5083
1052	5645	5076
1053	5649	5070
1054	5652	5063
1055	5657	5057
1056	5661	5050
1057	5665	5044
1058	5669	5038
1059	5681	5037
1060	5686	5032
1061	5691	5027
1062	5695	5020
1063	5698	5013
1064	5702	5006
1065	5706	5000
1066	5710	4993
1067	5713	4986
1068	5717	4979
1069	5721	4972
1070	5724	4965
1071	5728	4958
1072	5731	4951
1073	5736	4945
1074	5739	4938
1075	5743	4932
1076	5748	4926
1077	5752	4920
1078	5756	4913
1079	5759	4906
1080	5763	4899
1081	5766	4892
1082	5770	4885
1083	5773	4878
1084	5777	4872
1085	5781	4865
1086	5784	4858
1087	5788	4851
1088	5792	4845
1089	5795	4838
1090	5800	4832
1091	5803	4825
1092	5809	4820
1093	5813	4814
1094	5817	4808
1095	5821	4802
1096	5828	4797
1097	5835	4794
1098	5840	4787
1099	5844	4781
1100	5848	4775
1101	5851	4768
1102	5855	4761
1103	5858	4755
1104	5862	4748
1105	5866	4742
1106	5872	4736
1107	5877	4731
1108	5881	4725
1109	5885	4718
1110	5888	4712
1111	5891	4705
1112	5895	4698
1113	5898	4691
1114	5902	4684
1115	5905	4678
1116	5910	4672
1117	5914	4666
1118	5919	4660
1119	5923	4653
1120	5927	4647
1121	5930	4640
1122	5933	4633
1123	5937	4627
1124	5942	4621
1125	5946	4615
1126	5949	4608
1127	5953	4602
1128	5956	4595
1129	5960	4588
1130	5963	4581
1131	5966	4575
1132	5974	4571
1133	5988	4573
1134	5992	4567
1135	5996	4560
1136	6001	4555
1137	6005	4548
1138	6008	4541
1139	6011	4535
1140	6014	4528
1141	6018	4522
1142	6023	4516
1143	6026	4509
1144	6030	4503
1145	6034	4496
1146	6037	4490
1147	6041	4483
1148	6044	4476
1149	6047	4470
1150	6051	4463
1151	6055	4457
1152	6061	4452
1153	6064	4446
1154	6069	4440
1155	6073	4434
1156	6076	4427
1157	6080	4421
1158	6084	4414
1159	6087	4408
1160	6091	4402
1161	6094	4395
1162	6098	4388
1163	6101	4382
1164	6104	4375
1165	6108	4368
1166	6112	4362
1167	6117	4357
1168	6122	4352
1169	6126	4345
1170	6129	4339
1171	6133	4333
1172	6138	4327
1173	6148	4325
1174	6153	4320
1175	6158	4314
1176	6161	4308
1177	6166	4302
1178	6169	4296
1179	6172	4289
1180	6176	4283
1181	6180	4277
1182	6184	4271
1183	6188	4265
1184	6192	4258
1185	6195	4252
1186	6200	4246
1187	6203	4239
1188	6206	4233
1189	6213	4229
1190	6217	4223
1191	6221	4217
1192	6225	4211
1193	6229	4205
1194	6233	4198
1195	6236	4192
1196	6240	4186
1197	6245	4180
1198	6251	4176
1199	6255	4170
1200	6259	4164
1201	6264	4158
1202	6268	4152
1203	6273	4147
1204	6278	4142
1205	6282	4136
1206	6287	4131
1207	6291	4125
1208	6298	4121
1209	6317	4124
1210	6322	4119
1211	6327	4114
1212	6331	4107
1213	6335	4101
1214	6339	4095
1215	6342	4089
1216	6345	4082
1217	6348	4076
1218	6352	4070
1219	6357	4064
1220	6361	4058
1221	6365	4052
1222	6369	4046
1223	6374	4041
1224	6378	4035
1225	6382	4029
1226	6386	4023
1227	6390	4017
1228	6395	4012
1229	6398	4005
1230	6402	3999
1231	6406	3993
1232	6409	3986
1233	6412	3980
1234	6417	3974
1235	6420	3968
1236	6425	3963
1237	6428	3956
1238	6432	3950
1239	6436	3944
1240	6440	3939
1241	6444	3932
1242	6449	3927
1243	6453	3922
1244	6459	3917
1245	6464	3911
1246	6474	3909
1247	6478	3903
1248	6482	3897
1249	6486	3891
1250	6489	3885
1251	6493	3879
1252	6496	3873
1253	6500	3867
1254	6504	3861
1255	6508	3855
1256	6512	3849
1257	6515	3843
1258	6520	3837
1259	6525	3832
1260	6529	3826
1261	6532	3820
1262	6536	3814
1263	6539	3807
1264	6543	3801
1265	6547	3796
1266	6551	3790
1267	6555	3784
1268	6559	3778
1269	6562	3772
1270	6567	3766
1271	6570	3760
1272	6574	3754
1273	6578	3748
1274	6582	3743
1275	6586	3737
1276	6590	3731
1277	6593	3724
1278	6596	3718
1279	6600	3712
1280	6603	3706
1281	6610	3702
1282	6616	3697
1283	6626	3694
1284	6629	3689
1285	6633	3682
1286	6637	3677
1287	6642	3671
1288	6645	3665
1289	6649	3659
1290	6653	3653
1291	6657	3648
1292	6661	3642
1293	6665	3636
1294	6669	3630
1295	6672	3624
1296	6675	3618
1297	6680	3612
1298	6685	3607
1299	6690	3602
1300	6695	3597
1301	6700	3592
1302	6703	3586
1303	6707	3579
1304	6711	3574
1305	6715	3568
1306	6725	3565
1307	6729	3560
1308	6732	3554
1309	6736	3548
1310	6740	3542
1311	6744	3536
1312	6748	3531
1313	6753	3525
1314	6758	3520
1315	6762	3514
1316	6765	3508
1317	6769	3503
1318	6779	3500
1319	6785	3495
1320	6789	3489
1321	6792	3483
1322	6795	3477
1323	6799	3471
1324	6803	3466
1325	6807	3460
1326	6810	3454
1327	6814	3448
1328	6817	3442
1329	6821	3436
1330	6824	3430
1331	6828	3424
1332	6832	3418
1333	6837	3413
1334	6841	3408
1335	6845	3402
1336	6848	3396
1337	6852	3390
1338	6856	3384
1339	6859	3378
1340	6862	3372
1341	6866	3366
1342	6870	3361
1343	6874	3355
1344	6877	3349
1345	6881	3343
1346	6886	3338
1347	6890	3332
1348	6894	3327
1349	6898	3321
1350	6903	3316
1351	6906	3310
1352	6910	3304
1353	6913	3298
1354	6918	3293
1355	6921	3287
1356	6925	3281
1357	6931	3276
1358	6936	3271
1359	6942	3267
1360	6949	3262
1361	6953	3257
1362	6958	3252
1363	6962	3246
1364	6966	3240
1365	6969	3234
1366	6973	3229
1367	6977	3223
1368	6982	3218
1369	6986	3212
1370	6989	3206
1371	6992	3200
1372	6996	3194
1373	6999	3188
1374	7002	3182
1375	7007	3178
1376	7011	3172
1377	7016	3167
1378	7020	3161
1379	7024	3155
1380	7027	3150
1381	7031	3144
1382	7034	3138
1383	7038	3132
1384	7042	3127
1385	7046	3121
1386	7050	3115
1387	7054	3110
1388	7057	3104
1389	7062	3099
1390	7065	3093
1391	7069	3087
1392	7073	3082
1393	7079	3077
1394	7083	3072
1395	7086	3066
1396	7091	3061
1397	7097	3056
1398	7104	3052
1399	7109	3046
1400	7113	3041
1401	7118	3036
1402	7121	3030
1403	7126	3025
1404	7132	3020
1405	7139	3016
1406	7144	3011
1407	7151	3006
1408	7162	3004
1409	7166	2998
1410	7169	2992
1411	7172	2986
1412	7176	2981
1413	7181	2976
1414	7186	2971
1415	7189	2965
1416	7193	2959
1417	7197	2953
1418	7200	2948
1419	7205	2943
1420	7209	2937
1421	7213	2931
1422	7217	2926
1423	7222	2921
1424	7226	2916
1425	7229	2910
1426	7233	2904
1427	7236	2898
1428	7241	2893
1429	7245	2887
1430	7249	2882
1431	7253	2877
1432	7258	2871
1433	7271	2869
1434	7275	2864
1435	7282	2860
1436	7286	2854
1437	7290	2849
1438	7293	2843
1439	7297	2837
1440	7301	2832
1441	7304	2826
1442	7309	2821
1443	7313	2815
1444	7316	2810
1445	7320	2804
1446	7324	2799
1447	7329	2794
1448	7332	2788
1449	7336	2782
1450	7341	2777
1451	7346	2772
1452	7349	2766
1453	7353	2761
1454	7356	2755
1455	7360	2749
1456	7363	2744
1457	7366	2738
1458	7370	2732
1459	7374	2727
1460	7378	2722
1461	7382	2716
1462	7386	2711
1463	7390	2705
1464	7399	2702
1465	7407	2698
1466	7415	2694
1467	7421	2689
1468	7425	2684
1469	7429	2678
1470	7433	2673
1471	7436	2667
1472	7440	2661
1473	7443	2656
1474	7448	2650
1475	7452	2645
1476	7458	2641
1477	7462	2635
1478	7466	2630
1479	7469	2624
1480	7474	2619
1481	7477	2613
1482	7480	2607
1483	7485	2602
1484	7489	2597
1485	7492	2591
1486	7495	2585
1487	7499	2580
1488	7503	2574
1489	7506	2569
1490	7509	2563
1491	7515	2558
1492	7520	2553
1493	7524	2548
1494	7528	2543
1495	7532	2537
1496	7535	2532
1497	7538	2526
1498	7542	2520
1499	7545	2515
1500	7549	2509
1501	7553	2504
1502	7557	2499
1503	7561	2493
1504	7570	2489
1505	7573	2484
1506	7578	2479
1507	7582	2473
1508	7588	2469
1509	7591	2463
1510	7596	2458
1511	7600	2453
1512	7604	2447
1513	7608	2442
1514	7613	2437
1515	7617	2431
1516	7621	2426
1517	7624	2421
1518	7628	2415
1519	7631	2410
1520	7635	2404
1521	7638	2398
1522	7643	2393
1523	7648	2388
1524	7653	2383
1525	7656	2378
1526	7660	2372
1527	7664	2367
1528	7668	2362
1529	7671	2356
1530	7675	2351
1531	7679	2345
1532	7683	2340
1533	7686	2335
1534	7689	2329
1535	7694	2324
1536	7697	2318
1537	7700	2313
1538	7705	2308
1539	7711	2303
1540	7716	2298
1541	7719	2292
1542	7724	2287
1543	7738	2285
1544	7742	2280
1545	7745	2274
1546	7748	2269
1547	7753	2263
1548	7758	2258
1549	7762	2253
1550	7771	2249
1551	7775	2244
1552	7780	2239
1553	7785	2234
1554	7791	2229
1555	7797	2224
1556	7802	2219
1557	7806	2214
1558	7810	2209
1559	7813	2203
1560	7818	2198
1561	7822	2193
1562	7828	2188
1563	7834	2184
1564	7839	2178
1565	7842	2173
1566	7846	2168
1567	7850	2162
1568	7854	2157
1569	7859	2152
1570	7863	2147
1571	7867	2141
1572	7870	2136
1573	7874	2131
1574	7877	2125
1575	7881	2120
1576	7892	2116
1577	7906	2114
1578	7913	2109
1579	7916	2104
1580	7921	2099
1581	7924	2093
1582	7929	2088
1583	7933	2083
1584	7937	2078
1585	7940	2072
1586	7943	2067
1587	7946	2061
1588	7951	2056
1589	7954	2051
1590	7958	2045
1591	7962	2040
1592	7967	2035
1593	7972	2030
1594	7976	2025
1595	7980	2020
1596	7983	2014
1597	7988	2009
1598	7992	2004
1599	8001	2000
1600	8005	1995
1601	8010	1990
1602	8013	1984
1603	8018	1979
1604	8023	1974
1605	8034	1971
1606	8041	1966
1607	8050	1962
1608	8066	1960
1609	8070	1955
1610	8075	1949
1611	8079	1944
1612	8084	1939
1613	8089	1934
1614	8094	1929
1615	8098	1924
1616	8103	1919
1617	8107	1914
1618	8112	1909
1619	8117	1904
1620	8120	1898
1621	8125	1893
1622	8128	1888
1623	8132	1882
1624	8136	1877
1625	8142	1872
1626	8147	1867
1627	8154	1863
1628	8158	1858
1629	8163	1853
1630	8167	1847
1631	8171	1842
1632	8175	1837
1633	8179	1832
1634	8183	1826
1635	8187	1821
1636	8190	1816
1637	8195	1811
1638	8203	1806
1639	8219	1804
1640	8224	1799
1641	8229	1794
1642	8234	1789
1643	8239	1784
1644	8242	1778
1645	8247	1773
1646	8251	1768
1647	8256	1763
1648	8260	1758
1649	8264	1752
1650	8267	1747
1651	8270	1742
1652	8275	1737
1653	8279	1731
1654	8287	1727
1655	8292	1722
1656	8296	1717
1657	8299	1711
1658	8302	1706
1659	8306	1701
1660	8309	1695
1661	8314	1690
1662	8318	1685
1663	8321	1680
1664	8324	1674
1665	8328	1669
1666	8332	1664
1667	8335	1659
1668	8338	1653
1669	8343	1648
1670	8347	1643
1671	8354	1638
1672	8361	1634
